product_handle,product_title,product_type,variant_sku,variant_name,variant_price
"the-inventory-not-tracked-snowboard","The Inventory Not Tracked Snowboard","snowboard","sku-untracked-1","The Inventory Not Tracked Snowboard - Default Title","949.95"
"gift-card","Gift Card","giftcard",,"Gift Card - $10","10.00"
"gift-card","Gift Card","giftcard",,"Gift Card - $25","25.00"
"gift-card","Gift Card","giftcard",,"Gift Card - $50","50.00"
"gift-card","Gift Card","giftcard",,"Gift Card - $100","100.00"
"the-archived-snowboard","The Archived Snowboard","snowboard",,"The Archived Snowboard - Default Title","629.95"
"the-compare-at-price-snowboard","The Compare at Price Snowboard","snowboard",,"The Compare at Price Snowboard - Default Title","785.95"
"the-minimal-snowboard","The Minimal Snowboard","",,"The Minimal Snowboard - Default Title","885.95"
"the-draft-snowboard","The Draft Snowboard","snowboard",,"The Draft Snowboard - Default Title","2629.95"
"the-hidden-snowboard","The Hidden Snowboard","snowboard",,"The Hidden Snowboard - Default Title","749.95"
"the-out-of-stock-snowboard","The Out of Stock Snowboard","snowboard",,"The Out of Stock Snowboard - Default Title","885.95"
"the-videographer-snowboard","The Videographer Snowboard","snowboard",,"The Videographer Snowboard - Default Title","885.95"
"selling-plans-ski-wax","Selling Plans Ski Wax","accessories",,"Selling Plans Ski Wax - Selling Plans Ski Wax","24.95"
"selling-plans-ski-wax","Selling Plans Ski Wax","accessories",,"Selling Plans Ski Wax - Special Selling Plans Ski Wax","49.95"
"selling-plans-ski-wax","Selling Plans Ski Wax","accessories",,"Selling Plans Ski Wax - Sample Selling Plans Ski Wax","9.95"
"the-complete-snowboard","The Complete Snowboard","snowboard",,"The Complete Snowboard - Ice","699.95"
"the-complete-snowboard","The Complete Snowboard","snowboard",,"The Complete Snowboard - Dawn","699.95"
"the-complete-snowboard","The Complete Snowboard","snowboard",,"The Complete Snowboard - Powder","699.95"
"the-complete-snowboard","The Complete Snowboard","snowboard",,"The Complete Snowboard - Electric","699.95"
"the-complete-snowboard","The Complete Snowboard","snowboard",,"The Complete Snowboard - Sunset","699.95"
"the-collection-snowboard-hydrogen","The Collection Snowboard: Hydrogen","snowboard",,"The Collection Snowboard: Hydrogen - Default Title","600.00"
"the-multi-location-snowboard","The Multi-location Snowboard","snowboard",,"The Multi-location Snowboard - Default Title","729.95"
"the-collection-snowboard-oxygen","The Collection Snowboard: Oxygen","snowboard",,"The Collection Snowboard: Oxygen - Default Title","1025.00"
"the-3p-fulfilled-snowboard","The 3p Fulfilled Snowboard","snowboard","sku-hosted-1","The 3p Fulfilled Snowboard - Default Title","2629.95"
"the-multi-managed-snowboard","The Multi-managed Snowboard","snowboard","sku-managed-1","The Multi-managed Snowboard - Default Title","629.95"
"the-collection-snowboard-liquid","The Collection Snowboard: Liquid","snowboard",,"The Collection Snowboard: Liquid - Default Title","749.95"
"lego-marvel-super-heroes-marvel-avengers-infinity-war-outrider-dropship-attack-set","Lego Marvel Super Heroes Marvel Avengers Infinity War Outrider Dropship Attack Set","TOYS","TOY01","Lego Marvel Super Heroes Marvel Avengers Infinity War Outrider Dropship Attack Set - Default Title","26.00"
"lego-batman-movie-clayface-splat-attack","Lego Batman Movie - Clayface Splat Attack","TOYS","TOY02","Lego Batman Movie - Clayface Splat Attack - Default Title","32.00"
